 ,X,Y
1,0.056,0.002
2,0.068,0.006
3,0.077,0.012
4,0.084,0.021
5,0.091,0.032
6,0.097,0.040
7,0.101,0.052
8,0.101,0.062
9,0.102,0.075
10,0.105,0.082
11,0.112,0.085
12,0.129,0.090
13,0.134,0.090
