 ,X,Y
1,0.164,0.002
2,0.168,0.010
3,0.168,0.018
4,0.165,0.029
5,0.170,0.040
6,0.174,0.049
7,0.175,0.058
8,0.183,0.061
9,0.191,0.068
10,0.197,0.076
11,0.197,0.085
