 ,X,Y
1,0.122,-4.934E-4
2,0.123,0.003
3,0.131,0.007
4,0.136,0.015
5,0.139,0.022
6,0.143,0.030
7,0.146,0.035
8,0.152,0.039
9,0.154,0.045
10,0.162,0.049
11,0.165,0.056
12,0.168,0.063
13,0.171,0.068
14,0.172,0.075
15,0.176,0.081
