 ,X,Y
1,0.028,-4.934E-4
2,0.035,9.868E-4
3,0.042,9.868E-4
4,0.048,0.006
5,0.059,0.008
6,0.063,0.012
7,0.067,0.019
8,0.077,0.025
9,0.084,0.029
10,0.094,0.034
11,0.101,0.038
12,0.105,0.044
13,0.111,0.049
14,0.115,0.054
15,0.114,0.059
16,0.113,0.064
17,0.117,0.070
18,0.124,0.071
19,0.133,0.073
20,0.140,0.074
