 ,X,Y
1,0,0.037
2,0.002,0.034
3,0.007,0.028
4,0.015,0.021
5,0.028,0.023
6,0.037,0.028
7,0.044,0.036
8,0.050,0.045
9,0.055,0.055
10,0.058,0.065
11,0.061,0.074
12,0.067,0.078
13,0.076,0.081
14,0.084,0.088
15,0.089,0.094
16,0.095,0.097
