 ,X,Y
1,0.173,0.299
2,0.172,0.296
3,0.171,0.292
4,0.171,0.283
5,0.171,0.275
6,0.175,0.266
7,0.175,0.253
8,0.174,0.242
9,0.176,0.232
10,0.176,0.225
11,0.178,0.218
12,0.180,0.210
13,0.184,0.203
14,0.188,0.196
15,0.194,0.190
16,0.200,0.186
17,0.206,0.182
