 ,X,Y
1,0.299,0.103
2,0.293,0.104
3,0.286,0.103
4,0.278,0.106
5,0.275,0.110
6,0.271,0.117
7,0.264,0.120
8,0.257,0.124
9,0.249,0.125
10,0.241,0.124
11,0.232,0.125
