 ,X,Y
1,0.180,1.645E-4
2,0.182,0.004
3,0.179,0.010
4,0.175,0.015
5,0.170,0.021
6,0.169,0.030
7,0.168,0.042
8,0.166,0.048
9,0.164,0.056
10,0.163,0.061
11,0.157,0.063
12,0.151,0.065
13,0.146,0.069
14,0.139,0.072
15,0.133,0.074
