 ,X,Y
1,0.189,0.001
2,0.186,0.004
3,0.186,0.008
4,0.187,0.015
5,0.188,0.024
6,0.188,0.033
7,0.191,0.045
8,0.193,0.052
9,0.196,0.063
10,0.197,0.070
11,0.201,0.077
12,0.212,0.082
13,0.223,0.086
14,0.230,0.087
15,0.240,0.088
16,0.250,0.087
