 ,X,Y
1,0.162,2.467E-4
2,0.158,0.005
3,0.152,0.017
4,0.150,0.027
5,0.146,0.040
6,0.141,0.047
7,0.137,0.057
8,0.134,0.066
9,0.130,0.075
10,0.126,0.085
11,0.121,0.095
12,0.116,0.102
13,0.109,0.110
14,0.106,0.117
