 ,X,Y
1,0.230,0.299
2,0.230,0.295
3,0.229,0.285
4,0.233,0.277
5,0.234,0.267
6,0.230,0.258
7,0.229,0.247
8,0.228,0.236
9,0.226,0.228
10,0.233,0.215
11,0.231,0.205
12,0.225,0.194
13,0.224,0.189
