 ,X,Y
1,4.934E-4,0.233
2,0.010,0.236
3,0.024,0.240
4,0.029,0.234
5,0.034,0.216
6,0.042,0.199
7,0.051,0.182
8,0.056,0.176
9,0.066,0.170
10,0.071,0.165
11,0.075,0.155
