 ,X,Y
1,0.046,-4.934E-4
2,0.055,0.008
3,0.066,0.016
4,0.078,0.031
5,0.089,0.039
6,0.088,0.050
7,0.083,0.061
8,0.087,0.066
9,0.089,0.075
10,0.088,0.082
