 ,X,Y
1,0.231,1.645E-4
2,0.228,0.003
3,0.224,0.009
4,0.222,0.017
5,0.219,0.021
6,0.218,0.032
7,0.218,0.040
8,0.219,0.050
9,0.219,0.060
10,0.217,0.068
11,0.214,0.073
12,0.209,0.077
13,0.205,0.083
