 ,X,Y
1,0.066,4.934E-4
2,0.066,0.005
3,0.064,0.012
4,0.062,0.017
5,0.057,0.026
6,0.050,0.039
7,0.047,0.049
8,0.045,0.059
9,0.043,0.066
10,0.043,0.075
11,0.043,0.084
12,0.044,0.093
13,0.043,0.100
14,0.045,0.105
15,0.046,0.114
