 ,X,Y
1,0.154,0.001
2,0.159,0.007
3,0.157,0.017
4,0.157,0.027
5,0.164,0.034
6,0.169,0.046
7,0.170,0.058
8,0.167,0.067
9,0.162,0.075
10,0.156,0.083
