 ,X,Y
1,0.057,0.000
2,0.051,0.010
3,0.045,0.019
4,0.042,0.034
5,0.038,0.042
6,0.033,0.053
7,0.029,0.064
8,0.024,0.073
9,0.026,0.085
10,0.030,0.091
11,0.034,0.097
12,0.043,0.116
13,0.052,0.126
14,0.063,0.135
15,0.075,0.144
16,0.086,0.150
17,0.097,0.156
