 ,X,Y
1,-4.934E-4,0.143
2,0.007,0.148
3,0.022,0.157
4,0.036,0.166
5,0.047,0.179
6,0.052,0.190
7,0.051,0.206
8,0.051,0.221
9,0.054,0.236
10,0.060,0.251
11,0.064,0.270
12,0.069,0.283
13,0.066,0.296
