1.000000000000000000e+01 9.000000000000000000e+00 8.000000000000000000e+00 7.000000000000000000e+00 6.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000000e+00 3.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+00
5.891277257116543709e+00 5.412871625531280095e+00 5.873935546860958645e+00 6.150925890696615994e+00 5.729271808950573863e+00 5.897554280484691880e+00 6.384320903114915957e+00 6.961753781896129922e+00 5.861282642586654212e+00 7.178355937616617943e+00
3.774469738929110196e+00 3.218311744250085038e+00 3.651366698743003347e+00 3.815000234055274664e+00 3.779286987119701013e+00 4.556182335159845387e+00 3.951885155111942272e+00 5.300174180234181520e+00 4.047540801717530279e+00 5.667615072790721520e+00
5.767150559483314964e+01 5.790054603848381021e+01 4.896996034636377004e+01 5.373537246125293620e+01 5.257553512640077287e+01 5.039237653084168755e+01 5.695257223776392408e+01 5.508512564593527827e+01 5.836035449074329762e+01 6.411699031605458288e+01
3.664747115345538475e+01 3.553438770403669622e+01 3.163428967770193978e+01 3.425174987568299656e+01 3.268455217214732755e+01 3.415837897687872982e+01 3.154641750472183048e+01 3.258662298693041492e+01 3.543638909792478842e+01 4.325356719900103997e+01
8.021515621399352312e+03 6.491096628830112422e+03 6.025261210300591301e+03 8.741632586922301925e+03 6.931638548542598073e+03 8.201268399196982500e+03 1.116400518473994089e+04 1.308742548196095959e+04 9.619126504386920715e+03 9.105257376299841781e+03
1.469764457596232569e+04 1.207432585665471015e+04 8.672032649407334247e+03 1.648160169141831648e+04 1.429572261392027940e+04 1.820035845919251733e+04 2.026196869060171593e+04 2.507313736073242399e+04 2.108497284595645760e+04 9.566861185294195820e+03
1.278610019699067912e+01 1.364147934235387183e+01 1.075181214671678198e+01 1.114767785487267382e+01 1.143598530433916416e+01 1.121586668813800713e+01 1.105704120613790309e+01 1.111637550242258854e+01 1.216235118495740508e+01 1.367033378033356961e+01
9.792867875230749419e+00 9.993351630115448359e+00 7.983710048892077360e+00 8.175850587802933944e+00 7.605123574924596674e+00 8.227139255908427984e+00 7.712543159229406697e+00 8.274922983672841070e+00 8.663325240699936813e+00 1.054029909227313588e+01
9.970000000000000000e+02 4.530000000000000000e+02 2.220000000000000000e+02 1.340000000000000000e+02 7.300000000000000000e+01 6.100000000000000000e+01 2.700000000000000000e+01 1.220000000000000000e+02 6.400000000000000000e+01 1.000000000000000000e+01
