1.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 6.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01 1.200000000000000000e+01 1.300000000000000000e+01 1.400000000000000000e+01
3.559704636675884615e+01 3.689934748844447654e+01 3.854271656417741099e+01 3.770028321016740591e+01 3.851126173884931347e+01 4.010684847915926099e+01 3.596169854040306291e+01 3.713209535350559065e+01 3.912898570531584141e+01 3.825496693491384548e+01 3.424666111807820812e+01 4.383487094465252909e+01 1.286273298863725358e+02 4.000000000000000000e+02
2.852467909358609788e+01 3.047746179264604649e+01 3.068038039238605208e+01 3.170949932740021993e+01 3.331431212781802742e+01 3.603688072324943903e+01 3.190837798407942927e+01 3.596999763958935858e+01 3.575896752167788861e+01 3.933255393312686010e+01 2.930500775391343993e+01 5.585749785786668298e+01 1.186140090820785815e+02 0.000000000000000000e+00
3.095758527903039337e+01 3.052765064405873829e+01 2.920942074817410017e+01 2.916024989889488594e+01 2.943282752159642612e+01 3.125242906422356626e+01 2.786954972718602619e+01 2.932131799545322082e+01 2.851117693491288918e+01 2.924325310805827627e+01 2.693129432778304277e+01 4.166383514819890621e+01 2.140518662830999119e+02 3.750000000000000000e+03
3.577265533987016966e+01 3.315717265012376203e+01 2.998042024826109397e+01 2.913719629277446899e+01 2.741481402325974415e+01 3.179601400933230337e+01 1.944832508925332348e+01 1.973356963991201951e+01 2.024804473075840505e+01 1.884773827307583360e+01 1.683073417297556063e+01 7.933718020481828148e+01 5.356174890526565378e+02 0.000000000000000000e+00
3.926639133802112774e+05 4.402936491526025929e+05 3.329928356318157748e+05 4.012928695132068242e+05 3.886214223451714497e+05 5.028074360323452856e+05 2.574113756810570194e+05 3.134468206546051661e+05 3.205119135494829970e+05 3.940432515934468829e+05 1.743996683733113459e+05 4.290384468710309826e+06 6.841059863353279233e+07 1.884955592153875828e+09
4.250362312115959823e+06 4.707076212151511572e+06 3.105144555887457449e+06 4.196866515943389386e+06 3.470688577189235017e+06 2.879743444970554672e+06 1.178712653881035047e+06 1.350582162819758058e+06 1.343203146693883231e+06 1.793184032671262044e+06 7.267937332878762390e+05 2.397869972250744700e+07 2.627955462292801142e+08 0.000000000000000000e+00
1.088730094777236701e+00 1.044977152155912581e+00 9.718351610387382378e-01 9.842419901441588070e-01 9.904914464190032186e-01 1.004363341866893133e+00 1.004625916468100177e+00 1.063956155493177347e+00 1.011732431509674290e+00 1.046022280850553265e+00 1.005086478565042407e+00 1.090038483481605036e+00 1.274366073779571673e+00 9.375000000000000000e+00
8.661161749472312543e-01 7.977093909526238313e-01 7.753191013440259294e-01 7.709004837941202393e-01 7.595367689789945809e-01 7.150036955292217167e-01 7.235080452470321610e-01 7.140659331324579195e-01 7.757407324329691489e-01 7.059882991184727175e-01 6.872949237223640040e-01 8.009987567711249756e-01 1.406857477449055649e+00 0.000000000000000000e+00
1.487000000000000000e+04 6.898000000000000000e+03 2.629000000000000000e+03 1.778000000000000000e+03 1.019000000000000000e+03 6.990000000000000000e+02 5.060000000000000000e+02 3.570000000000000000e+02 2.770000000000000000e+02 3.790000000000000000e+02 5.160000000000000000e+02 4.180000000000000000e+02 7.900000000000000000e+01 3.000000000000000000e+00
