 ,X,Y
1,0.230,0.299
2,0.232,0.294
3,0.235,0.289
4,0.236,0.282
5,0.237,0.272
6,0.236,0.262
7,0.235,0.252
8,0.230,0.243
9,0.228,0.236
10,0.225,0.229
11,0.226,0.222
12,0.224,0.215
13,0.224,0.208
14,0.221,0.201
15,0.220,0.196
16,0.219,0.190
17,0.218,0.184
18,0.213,0.178
19,0.209,0.174
