 ,X,Y
1,0.120,4.934E-4
2,0.116,0.004
3,0.110,0.013
4,0.102,0.025
5,0.093,0.039
6,0.088,0.051
7,0.081,0.061
8,0.078,0.070
9,0.074,0.080
10,0.070,0.088
11,0.067,0.100
