14 1.080000000000000000e+02 7.268999999999999773e+02
13 8.470000000000000284e+01 6.496000000000000227e+02
12 6.640000000000000568e+01 4.155000000000000000e+02
11 5.279999999999999716e+01 3.141000000000000227e+02
10 4.079999999999999716e+01 2.375000000000000000e+02
9 3.200000000000000000e+01 1.795000000000000000e+02
8 2.510000000000000142e+01 1.356999999999999886e+02
7 1.969999999999999929e+01 1.025999999999999943e+02
6 1.540000000000000036e+01 7.759999999999999432e+01
5 1.209999999999999964e+01 5.870000000000000284e+01
4 9.500000000000000000e+00 4.429999999999999716e+01
3 7.400000000000000355e+00 3.350000000000000000e+01
2 5.799999999999999822e+00 2.530000000000000071e+01
1 5.099999999999999645e+00 2.169999999999999929e+01
0 5.000000000000000000e+00 5.000000000000000000e+02
